key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,duration_seconds
17669,8336,9376,0,0,6503306,,,,,,2142.292912315
17669,8796,8896,0,0,3334178,,,,,,1110.006032582
17669,8743,8932,0,0,5023468,,,,,,1684.750611587
17669,8239,9797,0,2,6746790,,,,,,2100.668907964
17669,8336,9346,0,0,6843914,,,,,,2207.874135755
17669,10106,7805,2,0,3340954,,,,,,1079.326044607
17669,8309,9367,0,0,11917822,,,,,,3818.41579059
17669,8943,8759,0,0,5618216,,,,,,1782.877270708
17669,8673,9002,0,0,4518374,,,,,,1469.295910025
17669,9608,8105,0,0,4936078,,,,,,1531.428272028
17669,8908,8817,0,0,4528336,,,,,,1421.034242988
17669,9034,8888,2,0,3260078,,,,,,990.757790273
17669,7876,9834,0,0,4528560,,,,,,1514.544456956
17669,10159,7547,0,0,5558340,,,,,,1836.725009255
17669,8761,8992,0,0,6431466,,,,,,2089.14910424
17669,8269,9635,0,0,11748168,,,,,,3808.435114573
17669,8532,9208,0,0,2608102,,,,,,842.085190962
17669,9640,8074,0,0,4705724,,,,,,1434.769118123
17669,8480,9215,0,0,6212814,,,,,,2034.863704516
17669,8435,9243,4,0,4058084,,,,,,1269.946671308
17669,8647,9032,0,0,9588458,,,,,,3040.90697826
17669,8958,8758,0,0,5451954,,,,,,1805.23332915
17669,10033,7911,0,0,4425212,,,,,,1461.723562096
17669,8095,9639,0,0,3786106,,,,,,1215.549043345
17669,10175,7524,2,0,16691442,,,,,,5431.309255937
17669,8304,9381,0,0,4438168,,,,,,1376.555807228
17669,8046,9667,0,0,3309820,,,,,,1025.005485905
17669,10255,7453,0,0,15578232,,,,,,4857.73544168
17669,8571,9200,0,0,4273898,,,,,,1306.196807578
17669,8652,9022,0,0,9150464,,,,,,2834.764587312
17669,9167,8594,0,0,3949650,,,,,,1237.382830008
17669,8461,9503,0,2,6915318,,,,,,2118.328384684
17669,8784,8916,2,0,8750566,,,,,,2796.852260361
17669,8616,9180,0,0,2782232,,,,,,876.30292139
17669,8326,9366,0,0,10131028,,,,,,3252.315218695
